Descripcion;Importe;Tipo;Categoria
ticket servicio online Alcohol y tabaco;51.57;2;Alcohol y tabaco
movimiento proveedor habitual Alcohol y tabaco;251.46;2;Alcohol y tabaco
movimiento proveedor habitual Alcohol y tabaco;83.29;2;Alcohol y tabaco
compra comercio local Alcohol y tabaco;200.28;2;Alcohol y tabaco
pago tarjeta servicio online Alcohol y tabaco;49.90;2;Alcohol y tabaco
compra proveedor habitual Alcohol y tabaco;54.30;2;Alcohol y tabaco
movimiento servicio online Alcohol y tabaco;263.24;2;Alcohol y tabaco
cargo proveedor habitual Alcohol y tabaco;262.32;2;Alcohol y tabaco
ticket comercio local Alcohol y tabaco;341.07;2;Alcohol y tabaco
pago tarjeta servicio online Alcohol y tabaco;116.55;2;Alcohol y tabaco
movimiento servicio online Alcohol y tabaco;189.55;2;Alcohol y tabaco
factura servicio online Alcohol y tabaco;162.58;2;Alcohol y tabaco
compra proveedor habitual Alcohol y tabaco;289.13;2;Alcohol y tabaco
pago tarjeta comercio local Alcohol y tabaco;241.32;2;Alcohol y tabaco
ticket proveedor habitual Alcohol y tabaco;315.54;2;Alcohol y tabaco
movimiento comercio local Alcohol y tabaco;222.14;2;Alcohol y tabaco
ticket comercio local Alcohol y tabaco;185.41;2;Alcohol y tabaco
cargo servicio online Alcohol y tabaco;167.46;2;Alcohol y tabaco
cargo comercio local Alcohol y tabaco;134.33;2;Alcohol y tabaco
ticket proveedor habitual Alcohol y tabaco;15.67;2;Alcohol y tabaco
ticket comercio local Alcohol y tabaco;10.62;2;Alcohol y tabaco
ticket servicio online Alcohol y tabaco;88.85;2;Alcohol y tabaco
factura proveedor habitual Alcohol y tabaco;138.70;2;Alcohol y tabaco
factura servicio online Alcohol y tabaco;345.98;2;Alcohol y tabaco
factura proveedor habitual Alcohol y tabaco;104.70;2;Alcohol y tabaco
movimiento comercio local Alcohol y tabaco;254.98;2;Alcohol y tabaco
compra servicio online Alcohol y tabaco;209.73;2;Alcohol y tabaco
pago tarjeta comercio local Alcohol y tabaco;87.85;2;Alcohol y tabaco
movimiento servicio online Alcohol y tabaco;179.34;2;Alcohol y tabaco
movimiento proveedor habitual Alcohol y tabaco;41.68;2;Alcohol y tabaco
factura servicio online Alcohol y tabaco;191.34;2;Alcohol y tabaco
pago tarjeta servicio online Alcohol y tabaco;57.70;2;Alcohol y tabaco
cargo comercio local Alcohol y tabaco;168.98;2;Alcohol y tabaco
ticket comercio local Alcohol y tabaco;220.99;2;Alcohol y tabaco
ticket servicio online Alcohol y tabaco;149.19;2;Alcohol y tabaco
factura arrendador Alquiler;890.74;2;Alquiler
pago tarjeta inmobiliaria Alquiler;1395.82;2;Alquiler
ticket inmobiliaria Alquiler;1315.15;2;Alquiler
factura inmobiliaria Alquiler;631.23;2;Alquiler
compra arrendador Alquiler;1026.49;2;Alquiler
cargo arrendador Alquiler;1303.97;2;Alquiler
ticket arrendador Alquiler;453.30;2;Alquiler
pago tarjeta arrendador Alquiler;866.08;2;Alquiler
movimiento arrendador Alquiler;1001.98;2;Alquiler
cargo inmobiliaria Alquiler;629.57;2;Alquiler
pago tarjeta inmobiliaria Alquiler;815.76;2;Alquiler
cargo inmobiliaria Alquiler;468.97;2;Alquiler
factura arrendador Alquiler;1204.45;2;Alquiler
compra arrendador Alquiler;1305.11;2;Alquiler
cargo inmobiliaria Alquiler;732.37;2;Alquiler
cargo inmobiliaria Alquiler;1013.95;2;Alquiler
compra inmobiliaria Alquiler;1343.06;2;Alquiler
cargo inmobiliaria Alquiler;837.48;2;Alquiler
factura inmobiliaria Alquiler;507.72;2;Alquiler
compra inmobiliaria Alquiler;1117.33;2;Alquiler
compra arrendador Alquiler;493.22;2;Alquiler
factura arrendador Alquiler;705.35;2;Alquiler
cargo arrendador Alquiler;924.11;2;Alquiler
ticket arrendador Alquiler;1019.39;2;Alquiler
cargo inmobiliaria Alquiler;964.48;2;Alquiler
compra arrendador Alquiler;1274.94;2;Alquiler
cargo arrendador Alquiler;516.55;2;Alquiler
compra arrendador Alquiler;474.68;2;Alquiler
ticket inmobiliaria Alquiler;1180.97;2;Alquiler
cargo inmobiliaria Alquiler;612.07;2;Alquiler
cargo arrendador Alquiler;497.49;2;Alquiler
pago tarjeta arrendador Alquiler;975.27;2;Alquiler
ticket arrendador Alquiler;1024.93;2;Alquiler
pago tarjeta inmobiliaria Alquiler;634.04;2;Alquiler
pago tarjeta inmobiliaria Alquiler;567.31;2;Alquiler
ticket inmobiliaria Alquiler;927.69;2;Alquiler
movimiento inmobiliaria Alquiler;683.73;2;Alquiler
factura arrendador Alquiler;582.44;2;Alquiler
cargo inmobiliaria Alquiler;501.70;2;Alquiler
compra arrendador Alquiler;526.56;2;Alquiler
movimiento inmobiliaria Alquiler;1412.61;2;Alquiler
ticket arrendador Alquiler;513.46;2;Alquiler
cargo arrendador Alquiler;1010.01;2;Alquiler
pago tarjeta arrendador Alquiler;737.96;2;Alquiler
pago tarjeta arrendador Alquiler;1478.05;2;Alquiler
movimiento arrendador Alquiler;1200.71;2;Alquiler
pago tarjeta inmobiliaria Alquiler;916.98;2;Alquiler
ticket arrendador Alquiler;837.71;2;Alquiler
factura inmobiliaria Alquiler;1218.92;2;Alquiler
movimiento arrendador Alquiler;482.68;2;Alquiler
cargo inmobiliaria Alquiler;545.25;2;Alquiler
ticket inmobiliaria Alquiler;1181.34;2;Alquiler
pago tarjeta arrendador Alquiler;959.05;2;Alquiler
movimiento arrendador Alquiler;1244.43;2;Alquiler
factura inmobiliaria Alquiler;983.25;2;Alquiler
ticket arrendador Alquiler;808.94;2;Alquiler
movimiento inmobiliaria Alquiler;922.78;2;Alquiler
factura inmobiliaria Alquiler;1083.23;2;Alquiler
factura inmobiliaria Alquiler;1461.97;2;Alquiler
cargo inmobiliaria Alquiler;1296.32;2;Alquiler
ticket bar centro Bares;227.37;2;Bares
factura taberna Bares;159.34;2;Bares
compra taberna Bares;111.85;2;Bares
pago tarjeta taberna Bares;329.47;2;Bares
ticket bar centro Bares;310.62;2;Bares
pago tarjeta bar centro Bares;217.28;2;Bares
factura taberna Bares;197.46;2;Bares
movimiento taberna Bares;164.82;2;Bares
factura bar centro Bares;329.56;2;Bares
cargo bar barrio Bares;56.39;2;Bares
factura taberna Bares;343.28;2;Bares
pago tarjeta bar centro Bares;48.58;2;Bares
movimiento bar barrio Bares;245.42;2;Bares
pago tarjeta bar centro Bares;296.80;2;Bares
movimiento bar centro Bares;67.39;2;Bares
pago tarjeta bar centro Bares;196.57;2;Bares
pago tarjeta bar centro Bares;349.58;2;Bares
pago tarjeta bar barrio Bares;109.46;2;Bares
movimiento bar centro Bares;90.70;2;Bares
factura bar centro Bares;69.75;2;Bares
movimiento bar barrio Bares;273.92;2;Bares
pago tarjeta bar barrio Bares;331.98;2;Bares
cargo bar centro Bares;36.70;2;Bares
compra bar centro Bares;101.98;2;Bares
cargo bar centro Bares;128.12;2;Bares
cargo bar barrio Bares;305.07;2;Bares
pago tarjeta taberna Bares;158.29;2;Bares
pago tarjeta bar centro Bares;175.56;2;Bares
ticket bar barrio Bares;19.98;2;Bares
factura bar barrio Bares;219.75;2;Bares
factura taberna Bares;211.35;2;Bares
cargo bar centro Bares;275.46;2;Bares
compra bar barrio Bares;337.89;2;Bares
movimiento bar centro Bares;279.57;2;Bares
compra bar barrio Bares;288.62;2;Bares
ticket bar barrio Bares;213.28;2;Bares
factura taberna Bares;280.36;2;Bares
ticket taberna Bares;321.36;2;Bares
ticket bar centro Bares;232.81;2;Bares
cargo bar barrio Bares;81.15;2;Bares
movimiento bar centro Bares;135.34;2;Bares
cargo bar barrio Bares;215.86;2;Bares
movimiento taberna Bares;167.55;2;Bares
pago tarjeta bar barrio Bares;61.29;2;Bares
pago tarjeta taberna Bares;174.14;2;Bares
cargo bar barrio Bares;152.59;2;Bares
compra bar barrio Bares;270.15;2;Bares
pago tarjeta bar barrio Bares;298.16;2;Bares
pago tarjeta taberna Bares;272.99;2;Bares
cargo bar centro Bares;135.41;2;Bares
cargo bar centro Bares;295.18;2;Bares
movimiento bar barrio Bares;23.62;2;Bares
ticket bar centro Bares;81.43;2;Bares
cargo bar barrio Bares;234.67;2;Bares
factura taberna Bares;288.15;2;Bares
movimiento bar barrio Bares;68.32;2;Bares
compra bar barrio Bares;346.55;2;Bares
movimiento taberna Bares;70.53;2;Bares
pago tarjeta bar barrio Bares;277.06;2;Bares
factura bar centro Bares;95.66;2;Bares
compra comercio local Belleza;129.97;2;Belleza
pago tarjeta comercio local Belleza;230.86;2;Belleza
pago tarjeta comercio local Belleza;185.62;2;Belleza
cargo comercio local Belleza;304.28;2;Belleza
ticket proveedor habitual Belleza;252.73;2;Belleza
movimiento servicio online Belleza;105.94;2;Belleza
factura comercio local Belleza;254.83;2;Belleza
ticket servicio online Belleza;22.41;2;Belleza
compra proveedor habitual Belleza;347.41;2;Belleza
compra proveedor habitual Belleza;216.56;2;Belleza
cargo proveedor habitual Belleza;187.61;2;Belleza
factura servicio online Belleza;114.05;2;Belleza
ticket servicio online Belleza;218.53;2;Belleza
movimiento servicio online Belleza;75.79;2;Belleza
compra proveedor habitual Belleza;261.49;2;Belleza
pago tarjeta proveedor habitual Belleza;35.88;2;Belleza
factura proveedor habitual Belleza;264.41;2;Belleza
ticket proveedor habitual Belleza;22.28;2;Belleza
ticket comercio local Belleza;201.17;2;Belleza
ticket servicio online Belleza;80.81;2;Belleza
pago tarjeta comercio local Belleza;147.56;2;Belleza
movimiento proveedor habitual Belleza;133.77;2;Belleza
cargo proveedor habitual Belleza;305.36;2;Belleza
compra comercio local Belleza;41.99;2;Belleza
ticket proveedor habitual Belleza;209.87;2;Belleza
cargo proveedor habitual Belleza;285.16;2;Belleza
movimiento comercio local Belleza;290.98;2;Belleza
compra comercio local Belleza;56.59;2;Belleza
movimiento servicio online Belleza;173.43;2;Belleza
pago tarjeta comercio local Belleza;48.36;2;Belleza
ticket comercio local Belleza;93.36;2;Belleza
pago tarjeta comercio local Belleza;62.67;2;Belleza
movimiento servicio online Belleza;259.58;2;Belleza
ticket proveedor habitual Belleza;144.45;2;Belleza
movimiento comercio local Belleza;228.42;2;Belleza
factura servicio online Belleza;200.40;2;Belleza
movimiento comercio local Belleza;328.07;2;Belleza
ticket proveedor habitual Belleza;38.83;2;Belleza
factura comercio local Belleza;41.40;2;Belleza
factura servicio online Belleza;349.49;2;Belleza
cargo proveedor habitual Belleza;190.88;2;Belleza
cargo proveedor habitual Belleza;214.68;2;Belleza
compra servicio online Belleza;157.67;2;Belleza
cargo proveedor habitual Belleza;207.91;2;Belleza
movimiento proveedor habitual Belleza;112.08;2;Belleza
factura servicio online Belleza;293.94;2;Belleza
movimiento servicio online Belleza;261.08;2;Belleza
compra proveedor habitual Belleza;264.39;2;Belleza
pago tarjeta comercio local Belleza;214.76;2;Belleza
compra proveedor habitual Belleza;217.91;2;Belleza
ticket servicio online Belleza;310.18;2;Belleza
pago tarjeta servicio online Belleza;255.15;2;Belleza
factura servicio online Belleza;298.37;2;Belleza
ticket comercio local Belleza;334.20;2;Belleza
factura comercio local Belleza;229.77;2;Belleza
pago tarjeta comercio local Belleza;236.42;2;Belleza
pago tarjeta comercio local Belleza;37.66;2;Belleza
pago tarjeta comercio local Belleza;326.84;2;Belleza
movimiento servicio online Belleza;44.18;2;Belleza
cargo servicio online Belleza;300.88;2;Belleza
factura starbucks Cafe y snacks;204.67;2;Cafe y snacks
pago tarjeta cafeteria Cafe y snacks;331.84;2;Cafe y snacks
compra coffee shop Cafe y snacks;145.05;2;Cafe y snacks
movimiento cafeteria Cafe y snacks;323.85;2;Cafe y snacks
movimiento coffee shop Cafe y snacks;124.00;2;Cafe y snacks
factura coffee shop Cafe y snacks;218.97;2;Cafe y snacks
pago tarjeta starbucks Cafe y snacks;263.47;2;Cafe y snacks
cargo starbucks Cafe y snacks;324.88;2;Cafe y snacks
movimiento starbucks Cafe y snacks;344.15;2;Cafe y snacks
pago tarjeta starbucks Cafe y snacks;76.46;2;Cafe y snacks
factura starbucks Cafe y snacks;284.24;2;Cafe y snacks
movimiento cafeteria Cafe y snacks;32.86;2;Cafe y snacks
movimiento coffee shop Cafe y snacks;163.84;2;Cafe y snacks
pago tarjeta cafeteria Cafe y snacks;118.52;2;Cafe y snacks
pago tarjeta coffee shop Cafe y snacks;115.98;2;Cafe y snacks
cargo starbucks Cafe y snacks;124.98;2;Cafe y snacks
ticket cafeteria Cafe y snacks;193.58;2;Cafe y snacks
factura coffee shop Cafe y snacks;175.19;2;Cafe y snacks
ticket starbucks Cafe y snacks;198.73;2;Cafe y snacks
compra coffee shop Cafe y snacks;157.78;2;Cafe y snacks
factura cafeteria Cafe y snacks;269.56;2;Cafe y snacks
ticket coffee shop Cafe y snacks;109.80;2;Cafe y snacks
factura starbucks Cafe y snacks;65.99;2;Cafe y snacks
movimiento coffee shop Cafe y snacks;225.92;2;Cafe y snacks
ticket starbucks Cafe y snacks;115.47;2;Cafe y snacks
ticket starbucks Cafe y snacks;33.30;2;Cafe y snacks
cargo cafeteria Cafe y snacks;182.95;2;Cafe y snacks
compra starbucks Cafe y snacks;168.74;2;Cafe y snacks
movimiento coffee shop Cafe y snacks;329.79;2;Cafe y snacks
compra starbucks Cafe y snacks;9.34;2;Cafe y snacks
movimiento starbucks Cafe y snacks;298.08;2;Cafe y snacks
ticket cafeteria Cafe y snacks;120.73;2;Cafe y snacks
movimiento coffee shop Cafe y snacks;171.59;2;Cafe y snacks
factura starbucks Cafe y snacks;93.61;2;Cafe y snacks
compra cafeteria Cafe y snacks;223.51;2;Cafe y snacks
compra starbucks Cafe y snacks;20.61;2;Cafe y snacks
factura starbucks Cafe y snacks;315.64;2;Cafe y snacks
factura coffee shop Cafe y snacks;92.09;2;Cafe y snacks
compra cafeteria Cafe y snacks;347.49;2;Cafe y snacks
compra cafeteria Cafe y snacks;106.73;2;Cafe y snacks
factura coffee shop Cafe y snacks;328.17;2;Cafe y snacks
cargo cafeteria Cafe y snacks;261.24;2;Cafe y snacks
pago tarjeta starbucks Cafe y snacks;37.83;2;Cafe y snacks
compra cafeteria Cafe y snacks;9.17;2;Cafe y snacks
pago tarjeta starbucks Cafe y snacks;159.95;2;Cafe y snacks
ticket coffee shop Cafe y snacks;185.82;2;Cafe y snacks
cargo starbucks Cafe y snacks;240.76;2;Cafe y snacks
compra starbucks Cafe y snacks;300.23;2;Cafe y snacks
cargo starbucks Cafe y snacks;123.29;2;Cafe y snacks
pago tarjeta cafeteria Cafe y snacks;103.78;2;Cafe y snacks
movimiento coffee shop Cafe y snacks;74.00;2;Cafe y snacks
compra coffee shop Cafe y snacks;85.90;2;Cafe y snacks
movimiento coffee shop Cafe y snacks;38.99;2;Cafe y snacks
factura coffee shop Cafe y snacks;268.85;2;Cafe y snacks
pago tarjeta starbucks Cafe y snacks;92.20;2;Cafe y snacks
cargo starbucks Cafe y snacks;121.76;2;Cafe y snacks
ticket cafeteria Cafe y snacks;232.84;2;Cafe y snacks
movimiento cafeteria Cafe y snacks;177.13;2;Cafe y snacks
cargo starbucks Cafe y snacks;345.02;2;Cafe y snacks
ticket coffee shop Cafe y snacks;254.72;2;Cafe y snacks
compra repsol Coche y combustible;163.75;2;Coche y combustible
pago tarjeta cepsa Coche y combustible;15.91;2;Coche y combustible
factura repsol Coche y combustible;70.09;2;Coche y combustible
movimiento repsol Coche y combustible;128.66;2;Coche y combustible
pago tarjeta repsol Coche y combustible;93.48;2;Coche y combustible
factura repsol Coche y combustible;41.33;2;Coche y combustible
ticket bp Coche y combustible;18.86;2;Coche y combustible
movimiento cepsa Coche y combustible;21.51;2;Coche y combustible
pago tarjeta bp Coche y combustible;160.70;2;Coche y combustible
ticket cepsa Coche y combustible;168.77;2;Coche y combustible
movimiento repsol Coche y combustible;100.40;2;Coche y combustible
ticket repsol Coche y combustible;108.25;2;Coche y combustible
factura cepsa Coche y combustible;32.11;2;Coche y combustible
pago tarjeta cepsa Coche y combustible;163.52;2;Coche y combustible
ticket bp Coche y combustible;154.36;2;Coche y combustible
compra repsol Coche y combustible;67.26;2;Coche y combustible
movimiento bp Coche y combustible;110.77;2;Coche y combustible
ticket repsol Coche y combustible;37.95;2;Coche y combustible
movimiento cepsa Coche y combustible;33.65;2;Coche y combustible
movimiento repsol Coche y combustible;158.77;2;Coche y combustible
compra repsol Coche y combustible;163.04;2;Coche y combustible
cargo repsol Coche y combustible;166.54;2;Coche y combustible
movimiento bp Coche y combustible;136.50;2;Coche y combustible
compra repsol Coche y combustible;143.22;2;Coche y combustible
factura bp Coche y combustible;24.98;2;Coche y combustible
cargo repsol Coche y combustible;34.75;2;Coche y combustible
cargo bp Coche y combustible;167.17;2;Coche y combustible
ticket repsol Coche y combustible;28.81;2;Coche y combustible
pago tarjeta cepsa Coche y combustible;12.01;2;Coche y combustible
movimiento cepsa Coche y combustible;76.38;2;Coche y combustible
pago tarjeta repsol Coche y combustible;119.27;2;Coche y combustible
compra cepsa Coche y combustible;53.83;2;Coche y combustible
compra cepsa Coche y combustible;147.74;2;Coche y combustible
cargo bp Coche y combustible;105.63;2;Coche y combustible
ticket bp Coche y combustible;121.57;2;Coche y combustible
cargo cepsa Coche y combustible;55.20;2;Coche y combustible
factura repsol Coche y combustible;92.87;2;Coche y combustible
factura bp Coche y combustible;176.36;2;Coche y combustible
compra cepsa Coche y combustible;155.59;2;Coche y combustible
factura bp Coche y combustible;69.43;2;Coche y combustible
ticket bp Coche y combustible;32.95;2;Coche y combustible
movimiento bp Coche y combustible;18.85;2;Coche y combustible
pago tarjeta cepsa Coche y combustible;31.73;2;Coche y combustible
movimiento bp Coche y combustible;134.97;2;Coche y combustible
pago tarjeta cepsa Coche y combustible;47.89;2;Coche y combustible
movimiento bp Coche y combustible;169.87;2;Coche y combustible
cargo bp Coche y combustible;52.40;2;Coche y combustible
pago tarjeta bp Coche y combustible;51.34;2;Coche y combustible
factura cepsa Coche y combustible;170.95;2;Coche y combustible
movimiento cepsa Coche y combustible;87.74;2;Coche y combustible
cargo bp Coche y combustible;128.71;2;Coche y combustible
compra cepsa Coche y combustible;55.25;2;Coche y combustible
movimiento bp Coche y combustible;107.38;2;Coche y combustible
movimiento repsol Coche y combustible;14.90;2;Coche y combustible
cargo bp Coche y combustible;47.94;2;Coche y combustible
movimiento repsol Coche y combustible;123.02;2;Coche y combustible
factura repsol Coche y combustible;74.61;2;Coche y combustible
cargo cepsa Coche y combustible;69.50;2;Coche y combustible
ticket cepsa Coche y combustible;137.61;2;Coche y combustible
ticket cepsa Coche y combustible;124.55;2;Coche y combustible
cargo comercio local Comida y bebida;150.05;2;Comida y bebida
cargo proveedor habitual Comida y bebida;99.93;2;Comida y bebida
compra servicio online Comida y bebida;170.52;2;Comida y bebida
movimiento servicio online Comida y bebida;30.48;2;Comida y bebida
compra servicio online Comida y bebida;109.72;2;Comida y bebida
factura servicio online Comida y bebida;124.62;2;Comida y bebida
cargo proveedor habitual Comida y bebida;214.11;2;Comida y bebida
cargo servicio online Comida y bebida;12.71;2;Comida y bebida
pago tarjeta servicio online Comida y bebida;150.46;2;Comida y bebida
ticket servicio online Comida y bebida;121.77;2;Comida y bebida
cargo proveedor habitual Comida y bebida;125.54;2;Comida y bebida
factura servicio online Comida y bebida;94.45;2;Comida y bebida
factura servicio online Comida y bebida;180.82;2;Comida y bebida
cargo proveedor habitual Comida y bebida;322.60;2;Comida y bebida
ticket comercio local Comida y bebida;205.93;2;Comida y bebida
movimiento comercio local Comida y bebida;246.99;2;Comida y bebida
ticket comercio local Comida y bebida;33.95;2;Comida y bebida
movimiento comercio local Comida y bebida;85.62;2;Comida y bebida
pago tarjeta servicio online Comida y bebida;257.29;2;Comida y bebida
pago tarjeta servicio online Comida y bebida;206.41;2;Comida y bebida
compra servicio online Comida y bebida;7.77;2;Comida y bebida
cargo servicio online Comida y bebida;335.89;2;Comida y bebida
cargo proveedor habitual Comida y bebida;256.60;2;Comida y bebida
compra comercio local Comida y bebida;267.70;2;Comida y bebida
movimiento comercio local Comida y bebida;218.19;2;Comida y bebida
factura proveedor habitual Comida y bebida;262.32;2;Comida y bebida
movimiento servicio online Comida y bebida;84.95;2;Comida y bebida
movimiento servicio online Comida y bebida;334.15;2;Comida y bebida
movimiento servicio online Comida y bebida;258.91;2;Comida y bebida
compra servicio online Comida y bebida;8.46;2;Comida y bebida
movimiento servicio online Comida y bebida;80.95;2;Comida y bebida
factura servicio online Comida y bebida;227.42;2;Comida y bebida
compra proveedor habitual Comida y bebida;211.59;2;Comida y bebida
compra servicio online Comida y bebida;125.24;2;Comida y bebida
compra comercio local Comida y bebida;340.51;2;Comida y bebida
factura comercio local Comida y bebida;117.25;2;Comida y bebida
pago tarjeta comercio local Comida y bebida;70.31;2;Comida y bebida
factura servicio online Comida y bebida;277.41;2;Comida y bebida
compra proveedor habitual Comida y bebida;142.26;2;Comida y bebida
movimiento proveedor habitual Comida y bebida;118.88;2;Comida y bebida
pago tarjeta comercio local Comida y bebida;55.42;2;Comida y bebida
ticket proveedor habitual Comida y bebida;65.90;2;Comida y bebida
cargo comercio local Comida y bebida;137.62;2;Comida y bebida
compra comercio local Comida y bebida;315.72;2;Comida y bebida
ticket comercio local Comida y bebida;61.26;2;Comida y bebida
factura proveedor habitual Comida y bebida;118.49;2;Comida y bebida
compra comercio local Comida y bebida;326.05;2;Comida y bebida
movimiento comercio local Comida y bebida;209.34;2;Comida y bebida
pago tarjeta comercio local Comida y bebida;251.05;2;Comida y bebida
cargo comercio local Comida y bebida;297.85;2;Comida y bebida
cargo servicio online Comida y bebida;223.73;2;Comida y bebida
movimiento proveedor habitual Comida y bebida;235.93;2;Comida y bebida
ticket proveedor habitual Comida y bebida;30.30;2;Comida y bebida
movimiento proveedor habitual Comida y bebida;121.45;2;Comida y bebida
factura comercio local Comida y bebida;10.21;2;Comida y bebida
compra comercio local Comida y bebida;264.98;2;Comida y bebida
pago tarjeta proveedor habitual Comida y bebida;312.73;2;Comida y bebida
compra proveedor habitual Comida y bebida;7.31;2;Comida y bebida
ticket comercio local Comida y bebida;236.12;2;Comida y bebida
factura comercio local Comida y bebida;215.05;2;Comida y bebida
compra comercio local Compras;331.47;2;Compras
movimiento comercio local Compras;303.32;2;Compras
ticket comercio local Compras;335.68;2;Compras
pago tarjeta proveedor habitual Compras;160.38;2;Compras
compra proveedor habitual Compras;331.31;2;Compras
compra proveedor habitual Compras;135.49;2;Compras
cargo comercio local Compras;178.99;2;Compras
ticket proveedor habitual Compras;40.72;2;Compras
factura servicio online Compras;62.71;2;Compras
cargo comercio local Compras;143.07;2;Compras
factura proveedor habitual Compras;232.94;2;Compras
compra comercio local Compras;228.65;2;Compras
